Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Zhu Z., Chen B., Reniers G., Zhang L., Qiu S., Qiu X.",57190276477;7408611903;8634628000;55902619500;56927504600;41461791800;,Playing chemical plant environmental protection games with historical monitoring data,2017,International Journal of Environmental Research and Public Health,14,10,1155,,,,7,10.3390/ijerph14101155,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030637855&doi=10.3390%2fijerph14101155&partnerID=40&md5=901ce02227e8ffffeea729c297ea0b94,"College of Information System and Management, National University of Defense Technology, Changsha, 410073, China; Faculty of Technology, Policy and Management, Safety and Security Science Group (S3G), Delft University of Technology (TU Delft), Delft, 2628 BX, Netherlands; Faculty of Applied Economics, Antwerp Research Group on Safety and Security (ARGoSS), University Antwerpen, Antwerp, 2000, Belgium; Centre for Economics and Corporate Sustainability (CEDON), KULeuven, Campus Brussels, Brussels, 1000, Belgium","Zhu, Z., College of Information System and Management, National University of Defense Technology, Changsha, 410073, China; Chen, B., College of Information System and Management, National University of Defense Technology, Changsha, 410073, China; Reniers, G., Faculty of Technology, Policy and Management, Safety and Security Science Group (S3G), Delft University of Technology (TU Delft), Delft, 2628 BX, Netherlands, Faculty of Applied Economics, Antwerp Research Group on Safety and Security (ARGoSS), University Antwerpen, Antwerp, 2000, Belgium, Centre for Economics and Corporate Sustainability (CEDON), KULeuven, Campus Brussels, Brussels, 1000, Belgium; Zhang, L., Faculty of Technology, Policy and Management, Safety and Security Science Group (S3G), Delft University of Technology (TU Delft), Delft, 2628 BX, Netherlands; Qiu, S., College of Information System and Management, National University of Defense Technology, Changsha, 410073, China; Qiu, X., College of Information System and Management, National University of Defense Technology, Changsha, 410073, China","The chemical industry is very important for the world economy and this industrial sector represents a substantial income source for developing countries. However, existing regulations on controlling atmospheric pollutants, and the enforcement of these regulations, often are insufficient in such countries. As a result, the deterioration of surrounding ecosystems and a quality decrease of the atmospheric environment can be observed. Previous works in this domain fail to generate executable and pragmatic solutions for inspection agencies due to practical challenges. In addressing these challenges, we introduce a so-called Chemical Plant Environment Protection Game (CPEP) to generate reasonable schedules of high-accuracy air quality monitoring stations (i.e., daily management plans) for inspection agencies. First, so-called Stackelberg Security Games (SSGs) in conjunction with source estimation methods are applied into this research. Second, high-accuracy air quality monitoring stations as well as gas sensor modules are modeled in the CPEP game. Third, simplified data analysis on the regularly discharging of chemical plants is utilized to construct the CPEP game. Finally, an illustrative case study is used to investigate the effectiveness of the CPEP game, and a realistic case study is conducted to illustrate how the models and algorithms being proposed in this paper, work in daily practice. Results show that playing a CPEP game can reduce operational costs of high-accuracy air quality monitoring stations. Moreover, evidence suggests that playing the game leads to more compliance from the chemical plants towards the inspection agencies. Therefore, the CPEP game is able to assist the environmental protection authorities in daily management work and reduce the potential risks of gaseous pollutants dispersion incidents. © 2017 by the authors. Licensee MDPI, Basel, Switzerland.",Chemical plant environmental protection; Game theory; Historical monitoring data; Source estimation methods; Stackelberg security games,"air quality; algorithm; chemical industry; environmental protection; estimation method; game theory; monitoring; air analysis; air quality; algorithm; Article; Chemical Plant Environment Protection Game; decision making; environmental management; environmental monitoring; environmental planning; environmental protection; industrial area; mathematical computing; theoretical model; air pollutant; air pollution; analysis; atmosphere; chemical industry; chemistry; ecosystem; environmental monitoring; environmental protection; game; prevention and control; procedures; theoretical model; toxicity; Air Pollutants; Air Pollution; Atmosphere; Chemical Industry; Conservation of Natural Resources; Ecosystem; Environmental Monitoring; Game Theory; Models, Theoretical",Article,Final,,Scopus,2-s2.0-85030637855
"Bhagwat P.C., Iychettira K.K., Richstein J.C., Chappin E.J.L., De Vries L.J.",55984655300;54897986500;55984901600;24467586000;7102828257;,The effectiveness of capacity markets in the presence of a high portfolio share of renewable energy sources,2017,Utilities Policy,48,,,76,91,,22,10.1016/j.jup.2017.09.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029547640&doi=10.1016%2fj.jup.2017.09.003&partnerID=40&md5=d5851ab34daa9963e9d4629078018746,"Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands; Florence School of Regulation, RSCAS, European University Institute, Il Casale, Via Boccaccio 121, Florence, I-50133, Italy; DIW Berlin, Mohrenstraße 58, Berlin, 10117, Germany","Bhagwat, P.C., Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands, Florence School of Regulation, RSCAS, European University Institute, Il Casale, Via Boccaccio 121, Florence, I-50133, Italy; Iychettira, K.K., Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands; Richstein, J.C., Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands, DIW Berlin, Mohrenstraße 58, Berlin, 10117, Germany; Chappin, E.J.L., Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands; De Vries, L.J., Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands","The effectiveness of a capacity market is analyzed by simulating three conditions that may cause suboptimal investment in the electricity generation: imperfect information and uncertainty; declining demand shocks resulting in load loss; and a growing share of renewable energy sources in the generation portfolio. Implementation of a capacity market can improve supply adequacy and reduce consumer costs. It mainly leads to more investment in low-cost peak generation units. If the administratively determined reserve margin is high enough, the security of supply is not significantly affected by uncertainties or demand shocks. A capacity market is found to be more effective than a strategic reserve for ensuring reliability. © 2017 The Authors",Adequacy policy; Capacity markets; Security of supply,alternative energy; energy market; energy policy; renewable resource,Article,Final,,Scopus,2-s2.0-85029547640
Roeser S.,35520235600;,"Introduction to the Special Issue on Climate Ethics: Uncertainty, Values and Policy",2017,Science and Engineering Ethics,23,5,,1247,1252,,,10.1007/s11948-017-9967-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028997073&doi=10.1007%2fs11948-017-9967-2&partnerID=40&md5=b32ed6a27b87a5a8e651be642538f109,"Ethics and Philosophy of Technology Section, Department of Values, Technology, and Innovation, Faculty of Technology, Policy and Management, TU Delft, Jaffalaan 5, Delft, 2628 BX, Netherlands","Roeser, S., Ethics and Philosophy of Technology Section, Department of Values, Technology, and Innovation, Faculty of Technology, Policy and Management, TU Delft, Jaffalaan 5, Delft, 2628 BX, Netherlands","Climate change is a pressing phenomenon with huge potential ethical, legal and social policy implications. Climate change gives rise to intricate moral and policy issues as it involves contested science, uncertainty and risk. In order to come to scientifically and morally justified, as well as feasible, policies, targeting climate change requires an interdisciplinary approach. This special issue will identify the main challenges that climate change poses from social, economic, methodological and ethical perspectives by focusing on the complex interrelations between uncertainty, values and policy in this context. This special issue brings together scholars from economics, social sciences and philosophy in order to address these challenges. © 2017, The Author(s).",Climate ethics; Policy; Uncertainty; Values,climate; climate change; human; interdisciplinary communication; morality; public policy; social psychology; uncertainty; Climate; Climate Change; Humans; Interdisciplinary Communication; Morals; Public Policy; Social Values; Uncertainty,Article,Final,,Scopus,2-s2.0-85028997073
"Eker S., van Daalen E., Thissen W.",55368467600;6603488315;6603688374;,Incorporating stakeholder perspectives into model-based scenarios: Exploring the futures of the Dutch gas sector,2017,Futures,93,,,27,43,,10,10.1016/j.futures.2017.08.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028696452&doi=10.1016%2fj.futures.2017.08.002&partnerID=40&md5=3f58a672808c2aa354fe1c8d07ac9860,"Faculty of Technology, Policy and Management, Delft University of Technology, P.O. Box 5015, Delft, GA  2600, Netherlands; International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, Austria","Eker, S., Faculty of Technology, Policy and Management, Delft University of Technology, P.O. Box 5015, Delft, GA  2600, Netherlands, International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, Austria; van Daalen, E., Faculty of Technology, Policy and Management, Delft University of Technology, P.O. Box 5015, Delft, GA  2600, Netherlands; Thissen, W., Faculty of Technology, Policy and Management, Delft University of Technology, P.O. Box 5015, Delft, GA  2600, Netherlands","Several model-based, analytical approaches have been developed recently to deal with the deep uncertainty present in situations for which futures studies are conducted. These approaches focus on covering a wide variety of scenarios and searching for robust strategies. However, they generally do not take the multiplicity of stakeholder perspectives into account in analytic terms, which could bring in diverse opinions and views, not only on possible futures but also on values and interests. In this study, we present an approach to incorporate stakeholder perspectives into model-based scenarios for exploring the future dynamics of the Dutch gas sector. The results demonstrate that the scenario space can be demarcated according to the perspectives. This allows for a systematic comparison of the perspectives and provides a basis for identification of robust strategies. Also, the analysis shows that incompatible elements between the model and perspectives, or within perspectives can be identified. This provides insights about the problem complexity and potential barriers to the futures envisioned by the perspectives. Future research can strengthen this approach by involving stakeholders in modelling and in the model-based representation of the perspective narratives to enhance learning and credibility, and can extend the analysis to identify (socially) robust policies. © 2017 Elsevier Ltd",Deep uncertainty; Energy futures; Exploratory modeling and analysis; Exploratory scenarios; Stakeholder perspectives,future prospect; gas industry; modeling; perception; stakeholder; uncertainty analysis; Netherlands,Article,Final,,Scopus,2-s2.0-85028696452
"Fernández-Dacosta C., Van Der Spek M., Hung C.R., Oregionni G.D., Skagestad R., Parihar P., Gokak D.T., Strømman A.H., Ramirez A.",56560160700;56951347300;56089827700;56518235000;37108617000;55058215700;6603471300;8699301400;57194845557;,Prospective techno-economic and environmental assessment of carbon capture at a refinery and CO2 utilisation in polyol synthesis,2017,Journal of CO2 Utilization,21,,,405,422,,42,10.1016/j.jcou.2017.08.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027857504&doi=10.1016%2fj.jcou.2017.08.005&partnerID=40&md5=22ce8e6bcf7119e2b1c6943bf34fe793,"Copernicus Institute of Sustainable Development, Utrecht University, Heidelberglaan 2, Utrecht, 3584 CS, Netherlands; Industrial Ecology Programme, Department of Energy and Process Engineering, Norwegian University of Science and Technology, Trondheim, 7491, Norway; Tel-Tek, Kjølnes ring 30, Porsgrunn, 3918, Norway; Corporate Research and Development Centre, Bharat Petroleum Corporation Limited, Greater Noida, UP  201306, India; Department of Engineering, Systems and Services, Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, BX Delft, 2628, Netherlands","Fernández-Dacosta, C., Copernicus Institute of Sustainable Development, Utrecht University, Heidelberglaan 2, Utrecht, 3584 CS, Netherlands; Van Der Spek, M., Copernicus Institute of Sustainable Development, Utrecht University, Heidelberglaan 2, Utrecht, 3584 CS, Netherlands; Hung, C.R., Industrial Ecology Programme, Department of Energy and Process Engineering, Norwegian University of Science and Technology, Trondheim, 7491, Norway; Oregionni, G.D., Industrial Ecology Programme, Department of Energy and Process Engineering, Norwegian University of Science and Technology, Trondheim, 7491, Norway; Skagestad, R., Tel-Tek, Kjølnes ring 30, Porsgrunn, 3918, Norway; Parihar, P., Corporate Research and Development Centre, Bharat Petroleum Corporation Limited, Greater Noida, UP  201306, India; Gokak, D.T., Corporate Research and Development Centre, Bharat Petroleum Corporation Limited, Greater Noida, UP  201306, India; Strømman, A.H., Industrial Ecology Programme, Department of Energy and Process Engineering, Norwegian University of Science and Technology, Trondheim, 7491, Norway; Ramirez, A., Copernicus Institute of Sustainable Development, Utrecht University, Heidelberglaan 2, Utrecht, 3584 CS, Netherlands, Department of Engineering, Systems and Services, Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, BX Delft, 2628, Netherlands","CO2 utilisation is gaining interest as a potential element towards a sustainable economy. CO2 can be used as feedstock in the synthesis of fuels, chemicals and polymers. This study presents a prospective assessment of carbon capture from a hydrogen unit at a refinery, where the CO2 is either stored, or partly stored and partly utilised for polyols production. A methodology integrating technical, economic and environmental models with uncertainty analysis is used to assess the performance of carbon capture and storage or utilisation at the refinery. Results show that only 10% of the CO2 captured from an industrial hydrogen unit can be utilised in a commercial-scale polyol plant. This option has limited potential for large scale CO2 mitigation from industrial sources. However, CO2 capture from a hydrogen unit and its utilisation for the synthesis of polyols provides an interesting alternative from an economic perspective. The costs of CO2-based polyol are estimated at 1200 €/t polyol, 16% lower than those of conventional polyol. Furthermore, the costs of storing the remaining CO2 are offset by the benefits of cheaper polyol production. Therefore, the combination of CO2 capture and partial utilisation provides an improved business case over capture and storage alone. The environmental assessment shows that the climate change potential of this CO2 utilisation system is 23% lower compared to a reference case in which no CO2 is captured at the refinery. Five other environmental impact categories included in this study present slightly better performance for the utilisation case than for the reference case. © 2015 The Authors. Published by Elsevier B.V.","Abbreviations BEC bare erected cost; CC climate change; CCS carbon capture and storage; CCS/U carbon capture storage and utilisation; CCU carbon capture and utilisation; CCUS carbon capture utilization and storage; cPC cyclic propylene carbonate; DMC double metal cyanide; EDD environmental due diligence; EDDiCCUT Environmental Due Diligence of novel CO2 Capture and Utilization Technologies; EPCC engineering, procurement and construction costs; FD fossil depletion; FE freshwater eutrophication; FU functional unit; G glycerol; HP high pressure; HT human toxicity; LCA life cycle assessment; LCI life cycle inventory; LCOE levelised cost of electricity; LCOP levelised cost of product; LHV lower heating value; LP low pressure; MDEA methyl diethanolamine; MPG monopropylene glycol; NMVOC non-methane volatile organic carbon; PBP payback period; PEC purchased equipment costs; PMF particulate matter formation; PO propylene oxide; POF photochemical oxidant formation; PP polyether polyol; PPC polyethercarbonate polyol; PSA pressure swing adsorption; PU polyurethane; R&D research & development; REF reference case; SA system area; TA terrestrial acidification; WGS water gas shift","Alcohols; Calorific value; Carbon dioxide; Climate change; Construction equipment; Cost engineering; Costs; Environmental impact; Environmental technology; Eutrophication; High pressure engineering; Investments; Life cycle; Organic carbon; Polyols; Propylene; Refining; Uncertainty analysis; Water gas shift; Carbon capture storage; CCU carbon capture and utilisation; CO2 capture; Cost of electricity; Cyclic propylene carbonate; Double metal cyanides; Due diligence; Engineering , procurement and constructions; Equipment costs; FD fossil depletion; Functional units; High pressure; Human toxicity; LCOP levelised cost of product; Life Cycle Assessment (LCA); Life Cycle Inventory; Low pressures; Lower heating value; Methyldiethanolamine; Particulate matter formations; Payback periods; Photochemical oxidants; Polyether polyol; PPC polyethercarbonate polyol; Pressure swing adsorption; Propylene oxide; SA system area; Volatile organic carbons; Carbon capture",Article,Final,,Scopus,2-s2.0-85027857504
"Chappin E.J.L., de Vries L.J., Richstein J.C., Bhagwat P., Iychettira K., Khan S.",24467586000;7102828257;55984901600;55984655300;54897986500;57195378116;,Simulating climate and energy policy with agent-based modelling: The Energy Modelling Laboratory (EMLab),2017,Environmental Modelling and Software,96,,,421,431,,31,10.1016/j.envsoft.2017.07.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027562617&doi=10.1016%2fj.envsoft.2017.07.009&partnerID=40&md5=bbbb62044c5b455b35736a3110711062,"Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, Delft, 2628 BX, Netherlands; Wuppertal Institute for Climate, Environment and Energy, Döppersberg 19, Wuppertal, 42103, Germany; DIW Berlin, Mohrenstrasse 58, Berlin, 10117, Germany; Florence School of Regulation, RSCAS, European University Institute, Il Casale, Via Boccaccio 121, Florence, I-50133, Italy","Chappin, E.J.L., Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, Delft, 2628 BX, Netherlands, Wuppertal Institute for Climate, Environment and Energy, Döppersberg 19, Wuppertal, 42103, Germany; de Vries, L.J., Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, Delft, 2628 BX, Netherlands; Richstein, J.C., Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, Delft, 2628 BX, Netherlands, DIW Berlin, Mohrenstrasse 58, Berlin, 10117, Germany; Bhagwat, P., Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, Delft, 2628 BX, Netherlands, Florence School of Regulation, RSCAS, European University Institute, Il Casale, Via Boccaccio 121, Florence, I-50133, Italy; Iychettira, K., Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, Delft, 2628 BX, Netherlands; Khan, S., Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, Delft, 2628 BX, Netherlands","We present an approach to simulate climate and energy policy for the EU, using a flexible and modular agent-based modelling approach and a toolbox, called the Energy Modelling Laboratory (EMLab). The paper shortly reviews core challenges and approaches for modelling climate and energy policy in light of the energy transition. Afterwards, we present an agent-based model of investment in power generation that has addressed a variety of European energy policy questions. We describe the development of a flexible model core as well as modules on carbon and renewables policies, capacity mechanisms, investment behaviour and representation of intermittent renewables. We present an overview of modelling results, ongoing projects, a case study on current reforms of the EU ETS, and we show their relevance in the EU context. © 2017 Elsevier Ltd",Agent-based modelling; Energy and climate policy; Energy modelling laboratory; Energy transition; Investment,,Article,Final,,Scopus,2-s2.0-85027562617
"Wiegmann P.M., de Vries H.J., Blind K.",57194722016;7201404339;55962748200;,Multi-mode standardisation: A critical review and a research agenda,2017,Research Policy,46,8,,1370,1386,,37,10.1016/j.respol.2017.06.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021838623&doi=10.1016%2fj.respol.2017.06.002&partnerID=40&md5=f777fb5b570c3ea6641dea9607cfd26d,"Rotterdam School of Management, Erasmus University, Chair of Standardisation, Burgemeester Oudlaan 50, Rotterdam, 3062 PA, Netherlands; Delft University of Technology, Faculty of Technology, Policy and Management, Section Economics of Technology and Innovation, Jaffalaan 5, Delft, 2628 BX, Netherlands; Technische Universität Berlin, Chair of Innovation Economics, MAR 2-5, Marchstraße 23, Berlin, 10587, Germany; Fraunhofer Institute for Open Communication Systems, Kaiserin-Augusta-Allee 31, Berlin, 10589, Germany","Wiegmann, P.M., Rotterdam School of Management, Erasmus University, Chair of Standardisation, Burgemeester Oudlaan 50, Rotterdam, 3062 PA, Netherlands; de Vries, H.J., Rotterdam School of Management, Erasmus University, Chair of Standardisation, Burgemeester Oudlaan 50, Rotterdam, 3062 PA, Netherlands, Delft University of Technology, Faculty of Technology, Policy and Management, Section Economics of Technology and Innovation, Jaffalaan 5, Delft, 2628 BX, Netherlands; Blind, K., Technische Universität Berlin, Chair of Innovation Economics, MAR 2-5, Marchstraße 23, Berlin, 10587, Germany, Fraunhofer Institute for Open Communication Systems, Kaiserin-Augusta-Allee 31, Berlin, 10589, Germany","Standardisation is key to shaping new technologies and supporting major ongoing trends, such as the increased importance of platforms, developing ‘smart’ technologies and innovating large-scale complex systems. Standardisation plays a key role in shaping the rules that govern these developments and their effects on society. Due to the large variety of actors involved in these trends, the associated standardisation processes are likely to involve all three modes of standardisation identified in the literature: committee-based, market-based and government-based. This multi-mode standardisation challenges the theoretical views on standardisation which predominantly focus on one of the modes. In this paper, we review the existing literatures on individual modes and on multi-mode standardisation. By recombining existing evidence, we generate new insights into multi-mode standardisation processes. These first insights relate to the contributions that each mode can make to such processes’ outcomes and suggest that their impact depends on factors, such as their initiation's timing and the institutional context in which the standardisation process occurs. Moreover, we consider the conditions under which actors can launch each mode. Based on our observations, we formulate an agenda for future research to obtain a better understanding of multi-mode standardisation. We offer recommendations for industry actors, NGOs, researchers and policy makers involved in shaping technological and societal change. © 2017 The Author(s)",Committee-based standardization; Government-based standardization; Multi-mode standardization; Regulation; Standard battles; Standardization,Large scale systems; Critical review; Institutional contexts; Large-scale complex systems; Multimodes; Policy makers; Regulation; Research agenda; Societal changes; Standardization,Article,Final,,Scopus,2-s2.0-85021838623
"Pesch U., Correljé A., Cuppen E., Taebi B.",22958422700;6506739696;24758098900;23037046400;,Energy justice and controversies: Formal and informal assessment in energy projects,2017,Energy Policy,109,,,825,834,,33,10.1016/j.enpol.2017.06.040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021056943&doi=10.1016%2fj.enpol.2017.06.040&partnerID=40&md5=eeb81ed2082c15bb7287d5d153adbb9d,"Faculty of Technology, Policy and Management, Delft University of Technology, Jafflaan 5, Delft, BX  2628, Netherlands","Pesch, U., Faculty of Technology, Policy and Management, Delft University of Technology, Jafflaan 5, Delft, BX  2628, Netherlands; Correljé, A., Faculty of Technology, Policy and Management, Delft University of Technology, Jafflaan 5, Delft, BX  2628, Netherlands; Cuppen, E., Faculty of Technology, Policy and Management, Delft University of Technology, Jafflaan 5, Delft, BX  2628, Netherlands; Taebi, B., Faculty of Technology, Policy and Management, Delft University of Technology, Jafflaan 5, Delft, BX  2628, Netherlands","In this paper we develop a framework for understanding how justice-related claims play a role in the dynamics of controversy in energy projects. We do so by distinguishing two interacting trajectories of assessment: a formal trajectory that is embedded in the legal system and an informal trajectory that is mainly embedded in public discourse. The emergence of an informal assessment trajectory can be seen as a response to a (perceived) lack of attention to particular concerns or values in the formal trajectory, i.e. ‘overflowing’. The emerging informal assessment may subsequently lead to adaptations in the formal trajectory, which we refer to as ‘backflowing'. Based on insights from case studies on Dutch energy projects and literature on energy justice we identify three justice-related attributes that facilitate understanding of the emergence of controversies. These attributes are based on differences between the two trajectories in terms of 1) the way in which values are expressed, 2) the dimension of energy justice that is taken as a starting point, and 3) the democratic legitimization of assessment trajectories. In order to allow for legitimate and effective energy policy, overflowing and backflowing need to be addressed as interrelated rather than as separate processes. © 2017 The Authors",Assessment trajectories; Controversy; Dutch energy projects; Energy justice; Legitimate decision-making; Overflowing,Energy policy; Case-studies; Controversy; Effective energy; Energy justices; Energy project; Informal assessments; Legal system; Overflowing; Trajectories; decision making; energy policy; informal sector; legal system; Netherlands,Article,Final,,Scopus,2-s2.0-85021056943
"Taebi B., Safari A.",23037046400;57193900041;,On Effectiveness and Legitimacy of ‘Shaming’ as a Strategy for Combatting Climate Change,2017,Science and Engineering Ethics,23,5,,1289,1306,,8,10.1007/s11948-017-9909-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017414991&doi=10.1007%2fs11948-017-9909-z&partnerID=40&md5=d8523ca30cbe56cc004d12e81358fb15,"Department of Values, Technology and Innovation, Faculty of Technology, Policy and Management, Delft University of Technology, Delft, Netherlands; Belfer Center for Science and International Affairs, Kennedy School of Government, Harvard University, Cambridge, MA, United States; Faculty of Law, Leiden University, Leiden, Netherlands","Taebi, B., Department of Values, Technology and Innovation, Faculty of Technology, Policy and Management, Delft University of Technology, Delft, Netherlands, Belfer Center for Science and International Affairs, Kennedy School of Government, Harvard University, Cambridge, MA, United States; Safari, A., Faculty of Law, Leiden University, Leiden, Netherlands","While states have agreed to substantial reduction of emissions in the Paris Agreement, the success of the Agreement strongly depends on the cooperation of large Multinational Corporations. Short of legal obligations, we discuss the effectiveness and moral legitimacy of voluntary approaches based on naming and shaming. We argue that effectiveness and legitimacy are closely tied together; as voluntary approaches are the only alternative to legally imposed duties, they are most morally defensible particularly if they would be the most effective in reducing the harmful greenhouse gases. Shaming could be made effective if states could prompt more corporations to accept voluntary cuts with high gains—such as public acknowledgements—and high losses, such as reporting on noncompliance and public exposure (naming), along with some kind of condemnation (shaming). An important challenge of such voluntary approaches is how to ensure compliance with the agreed upon commitments, while avoiding greenwashing or selective disclosure. Certain institutional arrangements are inevitable, including an independent measurement, monitoring and verification mechanism. In this paper, we discuss the potentials and ethical pitfalls of shaming as a strategy when corporations have a direct relationship with consumers, but also when they are in a relationship with governments and other corporations. © 2017, The Author(s).",Climate change; Corporate social responsibility; Environmental management; INDC; Multinational corporations; Naming and shaming,climate; climate change; commercial phenomena; cooperation; government; greenhouse gas; human; interpersonal communication; morality; organization; shame; social psychology; voluntary program; Climate; Climate Change; Commerce; Cooperative Behavior; Disclosure; Government; Greenhouse Gases; Humans; Morals; Organizations; Shame; Social Values; Voluntary Programs,Article,Final,,Scopus,2-s2.0-85017414991
"Tanishita M., van Wee B.",6504825890;56672201700;,Impact of vehicle speeds and changes in mean speeds on per vehicle-kilometer traffic accident rates in Japan,2017,IATSS Research,41,3,,107,112,,24,10.1016/j.iatssr.2016.09.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001048563&doi=10.1016%2fj.iatssr.2016.09.003&partnerID=40&md5=d1a4b83ca5aec8df1ad45e4003aabc06,"Department of Civil and Environmental Engineering, Faculty of Science and Engineering, Chuo University, 1-13-27, Kasuga, Bunkyo-ku, Tokyo, 112-8551, Japan; Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, BX  2628, Netherlands","Tanishita, M., Department of Civil and Environmental Engineering, Faculty of Science and Engineering, Chuo University, 1-13-27, Kasuga, Bunkyo-ku, Tokyo, 112-8551, Japan; van Wee, B., Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, BX  2628, Netherlands","Speed and speed variation are widely believed to be key issues in the understanding of traffic accidents. However, there has not been a substantial amount of research that focuses on the interaction between the mean speed and the change in the mean speeds. In this paper we use a five-minute continuous monitoring data of the mean speed on an expressway in Japan. Applying a two dimensional additive Poisson model, we show that not only mean speeds but also changes in mean speeds affect per vehicle-kilometer traffic accident rates. The highest probability of an accident occurs when speed reduces from 110 to 85 km/h. Another area of high accident probability occurs when the average speed increases from 65 to 90 km/h. In addition, we found that accident rates are higher when there is sunny weather, rather than when it is cloudy. © 2017 International Association of Traffic and Safety Sciences",Changes in mean speeds; Per vehicle-kilometer traffic accident rates; Two dimensional additive Poisson model,Additives; Speed; Vehicles; Accident probability; Accident rate; Average speed; Continuous monitoring; Key Issues; Poisson model; Speed variations; Vehicle speed; Accidents,Article,Final,,Scopus,2-s2.0-85001048563
"Araghi Y., Van Wee B., Kroesen M.",55941377600;56672201700;24344046200;,Historic vehicles: an overview from a transport policy perspective,2017,Transport Reviews,37,5,,571,589,,1,10.1080/01441647.2016.1273275,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010676714&doi=10.1080%2f01441647.2016.1273275&partnerID=40&md5=f70d9d74611ff520974eaeb678ba2baa,"Section of Transport and Logistics, Department of Engineering Systems and Services, Faculty of Technology Policy and Management, Delft University of Technology, Delft, Netherlands","Araghi, Y., Section of Transport and Logistics, Department of Engineering Systems and Services, Faculty of Technology Policy and Management, Delft University of Technology, Delft, Netherlands; Van Wee, B., Section of Transport and Logistics, Department of Engineering Systems and Services, Faculty of Technology Policy and Management, Delft University of Technology, Delft, Netherlands; Kroesen, M., Section of Transport and Logistics, Department of Engineering Systems and Services, Faculty of Technology Policy and Management, Delft University of Technology, Delft, Netherlands","Historic vehicles (HVs) are the heritage of road transport that have surprisingly received little attention in the academic literature. This study presents an overview of the literature on HVs, focusing on the three topics that dominate the policy debate on transport: environmental, safety and congestion impacts. We observed that polluting emissions of HVs are per kilometre much higher (often a factor 5 or more) than those of moderns vehicles. The annual average mileage per vehicle per year of HVs is much lower than other vehicles. The lower active and passive safety levels of HVs are compensated by the way these vehicles are driven, resulting in the risk factors per kilometre being roughly equal or lower than other vehicles. The contribution of HVs to congestion is negligible. However, the transport policy discourse is divided on the topic of HVs. More comprehensive and effective laws and regulation are needed to protect this aspect of the heritage of road transport whilst concurrently avoiding or limiting the problems caused by them. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",congestion; environment; Historic vehicles; noise; policy; safety,environmental impact; noise pollution; regulatory framework; road transport; traffic congestion; traffic emission; transport vehicle; transportation policy; transportation safety,Article,Final,,Scopus,2-s2.0-85010676714
